MOT;Occurence;Frequence
détonations;2;6.520817710540902E-5
idées;6;1.9562453131622705E-4
menace;11;3.586449740797496E-4
cosmiques;4;1.3041635421081805E-4
vérité;17;5.542695053959766E-4
messages;2;6.520817710540902E-5
appelé;3;9.781226565811353E-5
travers;29;9.455185680284307E-4
indescriptible;9;2.934367969743406E-4
clapotis;3;9.781226565811353E-5
messager;6;1.9562453131622705E-4
peut-on;2;6.520817710540902E-5
bande;5;1.6302044276352254E-4
obscures;6;1.9562453131622705E-4
touché;2;6.520817710540902E-5
embarrassée;4;1.3041635421081805E-4
gardant;2;6.520817710540902E-5
dos;9;2.934367969743406E-4
enchaînement;4;1.3041635421081805E-4
pourtour;4;1.3041635421081805E-4
mention;6;1.9562453131622705E-4
abomination;5;1.6302044276352254E-4
léthargique;3;9.781226565811353E-5
restaient;2;6.520817710540902E-5
reçut;2;6.520817710540902E-5
déroutée;3;9.781226565811353E-5
reçus;3;9.781226565811353E-5
libre;6;1.9562453131622705E-4
pâlir;3;9.781226565811353E-5
montèrent;3;9.781226565811353E-5
dénaturée;2;6.520817710540902E-5
surgir;3;9.781226565811353E-5
précieuses;3;9.781226565811353E-5
spécimens;6;1.9562453131622705E-4
entretiens;2;6.520817710540902E-5
professeur;154;0.005021029637116495
débordante;4;1.3041635421081805E-4
lourds;2;6.520817710540902E-5
parler;25;8.151022138176128E-4
poètes;10;3.2604088552704507E-4
revenait;4;1.3041635421081805E-4
lourde;3;9.781226565811353E-5
allaient;2;6.520817710540902E-5
trappe;5;1.6302044276352254E-4
strié;2;6.520817710540902E-5
effrayés;2;6.520817710540902E-5
titre;5;1.6302044276352254E-4
armes;5;1.6302044276352254E-4
distincts;2;6.520817710540902E-5
plutôt;18;5.868735939486812E-4
main;21;6.846858596067947E-4
donovan;15;4.890613282905676E-4
complètement;14;4.5645723973786314E-4
invétéré;4;1.3041635421081805E-4
poursuit;2;6.520817710540902E-5
palpa;2;6.520817710540902E-5
terrible;31;0.0010107267451338398
détruit;5;1.6302044276352254E-4
seulement;15;4.890613282905676E-4
étalés;3;9.781226565811353E-5
romain;2;6.520817710540902E-5
flasques;3;9.781226565811353E-5
fermé;4;1.3041635421081805E-4
passionné;2;6.520817710540902E-5
inconnus;4;1.3041635421081805E-4
amenait;2;6.520817710540902E-5
inconnue;23;7.498940367122037E-4
crier;3;9.781226565811353E-5
lueur;4;1.3041635421081805E-4
frappé;5;1.6302044276352254E-4
obtenir;9;2.934367969743406E-4
relatait;6;1.9562453131622705E-4
baie;4;1.3041635421081805E-4
adorateurs;19;6.194776825013857E-4
disposé;4;1.3041635421081805E-4
cessaient;4;1.3041635421081805E-4
informations;4;1.3041635421081805E-4
originaux;3;9.781226565811353E-5
dansaient;6;1.9562453131622705E-4
bizarres;9;2.934367969743406E-4
constitution;2;6.520817710540902E-5
prend;2;6.520817710540902E-5
devoir;10;3.2604088552704507E-4
transformer;3;9.781226565811353E-5
insensiblement;2;6.520817710540902E-5
symbole;6;1.9562453131622705E-4
curieux;5;1.6302044276352254E-4
précieux;6;1.9562453131622705E-4
loin;25;8.151022138176128E-4
mer;50;0.0016302044276352255
intensité;9;2.934367969743406E-4
manuscrit;57;0.0018584330475041571
lois;9;2.934367969743406E-4
celui-ci;5;1.6302044276352254E-4
récente;4;1.3041635421081805E-4
banal;3;9.781226565811353E-5
tentai;2;6.520817710540902E-5
merci;5;1.6302044276352254E-4
chauve-souris;7;2.2822861986893157E-4
tendirent;3;9.781226565811353E-5
disparition;2;6.520817710540902E-5
discours;3;9.781226565811353E-5
due;2;6.520817710540902E-5
décrivit;3;9.781226565811353E-5
durent;6;1.9562453131622705E-4
dut;5;1.6302044276352254E-4
dus;4;1.3041635421081805E-4
idoles;23;7.498940367122037E-4
décrits;2;6.520817710540902E-5
officiants;10;3.2604088552704507E-4
pourrait;9;2.934367969743406E-4
solitaires;3;9.781226565811353E-5
rehausser;4;1.3041635421081805E-4
dépens;5;1.6302044276352254E-4
hâtives;2;6.520817710540902E-5
redondances;2;6.520817710540902E-5
décrite;3;9.781226565811353E-5
dotée;2;6.520817710540902E-5
tales;5;1.6302044276352254E-4
tornasuk;5;1.6302044276352254E-4
effleuraient;4;1.3041635421081805E-4
légendes;17;5.542695053959766E-4
au-delà;8;2.608327084216361E-4
marécages;12;3.912490626324541E-4
plongées;3;9.781226565811353E-5
secousses;2;6.520817710540902E-5
prévision;2;6.520817710540902E-5
disposaient;2;6.520817710540902E-5
commandement;2;6.520817710540902E-5
unique;6;1.9562453131622705E-4
qualité;10;3.2604088552704507E-4
alliés;5;1.6302044276352254E-4
restauration;2;6.520817710540902E-5
redoutable;12;3.912490626324541E-4
réparées;2;6.520817710540902E-5
oubliées;2;6.520817710540902E-5
examiné;2;6.520817710540902E-5
latitude;15;4.890613282905676E-4
examiner;13;4.238531511851586E-4
arête;4;1.3041635421081805E-4
surnaturelles;2;6.520817710540902E-5
association;5;1.6302044276352254E-4
délires;2;6.520817710540902E-5
texte;9;2.934367969743406E-4
examinés;2;6.520817710540902E-5
quittera;4;1.3041635421081805E-4
long;36;0.0011737471878973623
voyages;3;9.781226565811353E-5
vinrent;5;1.6302044276352254E-4
vêtue;5;1.6302044276352254E-4
décrire;12;3.912490626324541E-4
examinée;3;9.781226565811353E-5
